               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,             0.03311,             0.01287,            0.021462,             0.65747,             0.85461,             0.77095,             0.51963,            0.029382,           0.0097376,            0.018319,             0.00208,             0.00208,             0.00208
                  82,            0.034624,            0.012775,            0.021568,             0.63114,               0.833,             0.74337,             0.49771,             0.02939,           0.0095518,            0.019808,            0.001981,            0.001981,            0.001981
                  83,            0.032506,            0.012741,            0.021689,             0.64758,             0.85275,             0.75782,             0.50142,            0.029719,           0.0096042,            0.018394,            0.001882,            0.001882,            0.001882
                  84,            0.033282,            0.012076,             0.01926,             0.65511,             0.80338,             0.74775,             0.50652,            0.029793,           0.0097795,             0.01951,            0.001783,            0.001783,            0.001783
                  85,            0.032589,            0.012097,            0.021048,             0.67808,             0.81273,             0.76163,             0.51477,            0.029092,           0.0095885,            0.018164,            0.001684,            0.001684,            0.001684
                  86,            0.032584,            0.011876,            0.019502,             0.66028,             0.83144,              0.7643,             0.51346,            0.029265,            0.009592,            0.018138,            0.001585,            0.001585,            0.001585
                  87,            0.034037,            0.012736,            0.019542,             0.66113,             0.85253,             0.76604,             0.52344,            0.029084,           0.0096393,            0.016764,            0.001486,            0.001486,            0.001486
                  88,             0.03306,            0.012606,            0.020292,             0.67597,             0.80944,             0.76425,             0.52526,            0.028848,            0.009536,            0.017295,            0.001387,            0.001387,            0.001387
                  89,            0.033906,             0.01273,            0.020873,             0.67574,             0.85447,              0.7724,             0.52944,            0.028799,           0.0095131,            0.017229,            0.001288,            0.001288,            0.001288
                  90,            0.031466,            0.011448,            0.020142,             0.69478,             0.84668,             0.76808,             0.52566,            0.028684,           0.0094965,             0.01658,            0.001189,            0.001189,            0.001189
                  91,             0.03288,            0.012741,            0.021091,             0.68468,             0.85011,             0.77595,             0.52349,            0.028875,           0.0094889,            0.017304,             0.00109,             0.00109,             0.00109
                  92,            0.032382,            0.011699,            0.019993,             0.66673,             0.84629,             0.76667,             0.51799,            0.028597,            0.009533,            0.017601,            0.000991,            0.000991,            0.000991
                  93,            0.030681,            0.012174,            0.019497,             0.66645,             0.84905,             0.75886,             0.52043,            0.028337,           0.0095366,            0.017157,            0.000892,            0.000892,            0.000892
                  94,            0.033181,            0.012167,            0.021157,             0.68871,             0.83988,             0.77148,              0.5237,             0.02842,           0.0094994,            0.016867,            0.000793,            0.000793,            0.000793
                  95,            0.030764,            0.011878,             0.01929,              0.6854,             0.85292,             0.76923,             0.52505,            0.028076,           0.0095238,            0.016778,            0.000694,            0.000694,            0.000694
                  96,            0.031003,            0.011898,            0.019793,             0.68772,             0.85371,             0.76771,             0.52729,            0.028071,           0.0094714,            0.016278,            0.000595,            0.000595,            0.000595
                  97,            0.031676,            0.012413,            0.018106,             0.68935,             0.84443,             0.75997,             0.52341,             0.02813,           0.0094754,             0.01652,            0.000496,            0.000496,            0.000496
                  98,            0.032207,            0.012679,            0.019544,             0.69131,             0.85072,             0.76058,             0.52578,            0.028067,           0.0094424,            0.016335,            0.000397,            0.000397,            0.000397
                  99,            0.031963,            0.012843,            0.020044,             0.69551,             0.84633,              0.7718,             0.53675,            0.027749,            0.009429,            0.016136,            0.000298,            0.000298,            0.000298
